tier,period,specification,variable,horizon,response,lower,upper
daily,paper,restricted,risk_off,0,0.09808349916196508,0.09808349916196508,0.09808349916196508
daily,paper,restricted,risk_off,1,0.04958979647298508,0.04625869949867925,0.051785780993998276
daily,paper,restricted,risk_off,3,0.04506909815396406,0.04073354437004139,0.04729538254922426
daily,paper,restricted,risk_off,6,0.035558051002045704,0.030458554117201008,0.03781128481137836
daily,paper,restricted,risk_off,12,0.022488755032026114,0.016955600560893958,0.024025168592723502
daily,paper,restricted,risk_off,24,0.009860245733877221,0.005177570299786784,0.011276080248271241
daily,paper,restricted,risk_off,125,1.050039443287044e-05,-0.001136155169383015,0.0005157162032630867
daily,paper,restricted,log_wui,0,-1.892471069679938e-05,-1.892471069679938e-05,-1.892471069679938e-05
daily,paper,restricted,log_wui,1,0.0004585706851127765,-0.0013518846829462894,0.002147926648941037
daily,paper,restricted,log_wui,3,0.0002844078316031046,-0.002847441341339528,0.003525584745916788
daily,paper,restricted,log_wui,6,0.0010412496302815582,-0.0036214707017421595,0.005628236682327398
daily,paper,restricted,log_wui,12,-0.002305406749969768,-0.00863734387273459,0.00416387492528258
daily,paper,restricted,log_wui,24,-0.008053624307461347,-0.017232252339184437,0.002451469927652263
daily,paper,restricted,log_wui,125,-0.0003543087701168863,-0.006445586499441386,0.008518998897106885
daily,paper,restricted,spread,0,0.004120674177484233,0.004120674177484233,0.004120674177484233
daily,paper,restricted,spread,1,0.002723216791843169,0.0007017469134595227,0.004691482449840078
daily,paper,restricted,spread,3,0.003507040209664924,0.0002659207979060557,0.006321303295827693
daily,paper,restricted,spread,6,0.003577347901611989,-0.0004660596021620158,0.007497708447298485
daily,paper,restricted,spread,12,0.008958028601233669,0.0037870207744097164,0.01329584509638883
daily,paper,restricted,spread,24,0.01330915195118561,0.006012048647266075,0.018940407941763368
daily,paper,restricted,spread,125,0.012214066867284561,0.0034274285846899867,0.01627662976280136
daily,paper,restricted,log_rgdp,0,-2.1366348504888795e-05,-2.1366348504888795e-05,-2.1366348504888795e-05
daily,paper,restricted,log_rgdp,1,-5.348460638465597e-05,-8.341976977615801e-05,-2.394211338278732e-05
daily,paper,restricted,log_rgdp,3,-8.553596957502494e-05,-0.00014107218144728909,-2.8602422628157824e-05
daily,paper,restricted,log_rgdp,6,-0.00013875937831573886,-0.00022010649205902005,-5.3859656077105296e-05
daily,paper,restricted,log_rgdp,12,-0.0003098915019718997,-0.0004217514197779628,-0.00018576317183289256
daily,paper,restricted,log_rgdp,24,-0.0005798291188744062,-0.0007285448895155691,-0.00036237138702966445
daily,paper,restricted,log_rgdp,125,-0.0006398925236639194,-0.0007654374113638555,-0.00024166975591477733
daily,paper,restricted,log_reer,0,7.580262997933594e-05,7.580262997933594e-05,7.580262997933594e-05
daily,paper,restricted,log_reer,1,0.0001433858494943106,8.405965248465602e-05,0.00020148852541830196
daily,paper,restricted,log_reer,3,0.0002510594421084211,0.00013766845599923427,0.00037065164225678264
daily,paper,restricted,log_reer,6,0.000537395243825897,0.0003377155323056351,0.0007519206399815715
daily,paper,restricted,log_reer,12,0.000992132406225244,0.000636375085737845,0.0013391761284896858
daily,paper,restricted,log_reer,24,0.0015988035301414331,0.000916940851560334,0.0021707109151345256
daily,paper,restricted,log_reer,125,0.0018305644181630066,0.000391322266477961,0.0023215314677921457
daily,paper,restricted,log_nikkei,0,-0.0013607314537512124,-0.0013607314537512124,-0.0013607314537512124
daily,paper,restricted,log_nikkei,1,-0.0031128448569095295,-0.0035427225207941802,-0.0026318735800979313
daily,paper,restricted,log_nikkei,3,-0.0030626367050327627,-0.0037650646261763233,-0.0022672014935393465
daily,paper,restricted,log_nikkei,6,-0.003775966081950924,-0.004741289276739142,-0.002601858677411407
daily,paper,restricted,log_nikkei,12,-0.004443210090411074,-0.005552414933106644,-0.0028302143935095545
daily,paper,restricted,log_nikkei,24,-0.005799426627722801,-0.007322165092308224,-0.003335593954798304
daily,paper,restricted,log_nikkei,125,-0.005758095583815503,-0.00726724200583925,-0.00141804099853937
daily,paper,restricted,debtsec_pct,0,0.003984478507891738,0.003984478507891738,0.003984478507891738
daily,paper,restricted,debtsec_pct,1,-0.004401135213826637,-0.014965853978259447,0.006954343803321109
daily,paper,restricted,debtsec_pct,3,-0.029288864496419115,-0.04920551892298945,-0.009219443339799965
daily,paper,restricted,debtsec_pct,6,-0.04207846899241656,-0.07314224409804958,-0.012120486411270335
daily,paper,restricted,debtsec_pct,12,-0.0584776584465717,-0.09700937240065538,-0.014984422560305412
daily,paper,restricted,debtsec_pct,24,-0.03246898521355168,-0.06657211794354108,0.013335550250872328
daily,paper,restricted,debtsec_pct,125,-0.003388366338016392,-0.008758614346282083,0.005822496157943709
daily,paper,restricted,equity_pct,0,0.0019224948210535072,0.0019224948210535072,0.0019224948210535072
daily,paper,restricted,equity_pct,1,0.00044371983578530346,-0.006362597678217171,0.007008376897311599
daily,paper,restricted,equity_pct,3,-0.011547011784000714,-0.02334344698220384,-0.0007698648625684204
daily,paper,restricted,equity_pct,6,-0.019018595358341682,-0.035326622717685496,-0.004141876660356987
daily,paper,restricted,equity_pct,12,-0.04828517272175859,-0.064022230184926,-0.029486068105448925
daily,paper,restricted,equity_pct,24,-0.04052128244648556,-0.05404836928036036,-0.019479794903535217
daily,paper,restricted,equity_pct,125,-0.0017021948165343338,-0.0037980749310354872,0.0036040873478510945
daily,paper,restricted,other_pct,0,0.0027112586653456287,0.0027112586653456287,0.0027112586653456287
daily,paper,restricted,other_pct,1,0.01834017476541874,-0.0014041931191731672,0.03606119874428063
daily,paper,restricted,other_pct,3,0.07697253031009768,0.04187736881480423,0.10844515575607651
daily,paper,restricted,other_pct,6,0.13048328067017545,0.07805138659673022,0.17829207549188794
daily,paper,restricted,other_pct,12,0.15954651956826513,0.08241168009336707,0.21868312679491114
daily,paper,restricted,other_pct,24,0.056517567989332156,-0.023694179659440134,0.11137189856703504
daily,paper,restricted,other_pct,125,-0.012117855663374234,-0.026113393453468896,7.521111610189868e-05
daily,paper,restricted,direct_pct,0,0.00035676758836558615,0.00035676758836558615,0.00035676758836558615
daily,paper,restricted,direct_pct,1,0.00023395352400378013,-0.0014982221792873662,0.0019183526645457384
daily,paper,restricted,direct_pct,3,-0.0005932090282613931,-0.003668945762564342,0.0025042669331030334
daily,paper,restricted,direct_pct,6,0.0006852040165463244,-0.004112101672874202,0.005946869332652739
daily,paper,restricted,direct_pct,12,0.002203337229460031,-0.004927737426190359,0.009014947551690447
daily,paper,restricted,direct_pct,24,0.00036332631110790796,-0.007091136354777117,0.007578855953412796
daily,paper,restricted,direct_pct,125,0.000870288148400929,-0.0007762881927823888,0.0024381030242190678
daily,paper,unrestricted,risk_off,0,0.09747517022189775,0.09546931975981351,0.09948102068398199
daily,paper,unrestricted,risk_off,1,0.04774282376043796,0.044715597732347005,0.05077004978852891
daily,paper,unrestricted,risk_off,3,0.04285300348434094,0.03941325997419883,0.046292746994483054
daily,paper,unrestricted,risk_off,6,0.03274159472011182,0.02889567532395216,0.03658751411627149
daily,paper,unrestricted,risk_off,12,0.020014737894738316,0.016718845317703315,0.023310630471773317
daily,paper,unrestricted,risk_off,24,0.008485338643971326,0.005494304662988062,0.01147637262495459
daily,paper,unrestricted,risk_off,125,-0.00023421856461748375,-0.0008975422909410447,0.0004291051617060772
daily,paper,unrestricted,log_wui,0,-1.9196494056446874e-05,-0.0017037941483566427,0.0016654011602437488
daily,paper,unrestricted,log_wui,1,0.00045494566005077326,-0.0019895493552835944,0.0028994406753851407
daily,paper,unrestricted,log_wui,3,0.00027667634629165367,-0.003330111908994319,0.0038834646015776264
daily,paper,unrestricted,log_wui,6,0.0010213923242099118,-0.0040620022607644754,0.006104786909184299
daily,paper,unrestricted,log_wui,12,-0.0022553723879904703,-0.009262684057066485,0.004751939281085544
daily,paper,unrestricted,log_wui,24,-0.007496607763476992,-0.01736672987183572,0.0023735143448817345
daily,paper,unrestricted,log_wui,125,0.00020653005676434628,-0.006148811403934573,0.006561871517463266
daily,paper,unrestricted,spread,0,0.004179852395055145,0.002254698410567717,0.006105006379542574
daily,paper,unrestricted,spread,1,0.0027840152090496577,0.0001908539428014046,0.005377176475297911
daily,paper,unrestricted,spread,3,0.0035855752944984665,0.00014662074261452204,0.007024529846382411
